id,credit_score,isCtry1,isCtry2,isFemale,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
2381,619,0,1,1,42,2,0,1,1,1,101348.88,1
2382,608,0,0,1,41,1,83807.86,1,0,1,112542.58,0
2383,502,0,1,1,42,8,159660.8,3,1,0,113931.57,1
2384,699,0,1,1,39,1,0,2,0,0,93826.63,0
2385,850,0,0,1,43,2,125510.82,1,1,1,79084.1,0
2386,645,0,0,0,44,8,113755.78,2,1,0,149756.71,1
2387,822,0,1,0,50,7,0,2,1,1,10062.8,0
2388,376,1,0,1,29,4,115046.74,4,1,0,119346.88,1
2389,501,0,1,0,44,4,142051.07,2,0,1,74940.5,0
2390,684,0,1,0,27,2,134603.88,1,1,1,71725.73,0
2391,528,0,1,0,31,6,102016.72,2,0,0,80181.12,0
2392,497,0,0,0,24,3,0,2,1,0,76390.01,0
2393,476,0,1,1,34,10,0,2,1,0,26260.98,0
2394,549,0,1,1,25,5,0,2,0,0,190857.79,0
2395,635,0,0,1,35,7,0,2,1,1,65951.65,0
2396,616,1,0,0,45,3,143129.41,2,0,1,64327.26,0
2397,653,1,0,0,58,1,132602.88,1,1,0,5097.67,1
2398,549,0,0,1,24,9,0,2,1,1,14406.41,0
2399,587,0,0,0,45,6,0,1,0,0,158684.81,0
2400,726,0,1,1,24,6,0,2,1,1,54724.03,0
2401,732,0,1,0,41,8,0,2,1,1,170886.17,0
2402,636,0,0,1,32,8,0,2,1,0,138555.46,0
2403,510,0,0,1,38,4,0,1,1,0,118913.53,1
2404,669,0,1,0,46,3,0,2,0,1,8487.75,0
2405,846,0,1,1,38,5,0,1,1,1,187616.16,0
2406,577,0,1,0,25,3,0,2,0,1,124508.29,0
2407,756,1,0,0,36,2,136815.64,1,1,1,170041.95,0
2408,571,0,1,0,44,9,0,2,0,0,38433.35,0
2409,574,1,0,1,43,3,141349.43,1,1,1,100187.43,0
2410,411,0,1,0,29,0,59697.17,2,1,1,53483.21,0
2411,591,0,0,1,39,3,0,3,1,0,140469.38,1
2412,533,0,1,0,36,7,85311.7,1,0,1,156731.91,0
2413,553,1,0,0,41,9,110112.54,2,0,0,81898.81,0
2414,520,0,0,1,42,6,0,2,1,1,34410.55,0
2415,722,0,0,1,29,9,0,2,1,1,142033.07,0
2416,475,0,1,1,45,0,134264.04,1,1,0,27822.99,1
2417,490,0,0,0,31,3,145260.23,1,0,1,114066.77,0
2418,804,0,0,0,33,7,76548.6,1,0,1,98453.45,0
2419,850,0,1,0,36,7,0,1,1,1,40812.9,0
2420,582,1,0,0,41,6,70349.48,2,0,1,178074.04,0
2421,472,0,0,0,40,4,0,1,1,0,70154.22,0
2422,465,0,1,1,51,8,122522.32,1,0,0,181297.65,1
2423,556,0,1,1,61,2,117419.35,1,1,1,94153.83,0
2424,834,0,1,1,49,2,131394.56,1,0,0,194365.76,1
2425,660,0,0,1,61,5,155931.11,1,1,1,158338.39,0
2426,776,1,0,1,32,4,109421.13,2,1,1,126517.46,0
2427,829,1,0,1,27,9,112045.67,1,1,1,119708.21,1
2428,637,1,0,1,39,9,137843.8,1,1,1,117622.8,1
2429,550,1,0,0,38,2,103391.38,1,0,1,90878.13,0
2430,776,1,0,1,37,2,103769.22,2,1,0,194099.12,0
2431,698,1,0,0,44,10,116363.37,2,1,0,198059.16,0
2432,585,1,0,0,36,5,146050.97,2,0,0,86424.57,0
2433,788,0,1,1,33,5,0,2,0,0,116978.19,0
2434,655,1,0,0,41,8,125561.97,1,0,0,164040.94,1
2435,601,1,0,0,42,1,98495.72,1,1,0,40014.76,1
2436,619,0,1,0,43,1,125211.92,1,1,1,113410.49,0
2437,656,0,1,0,45,5,127864.4,1,1,0,87107.57,0
2438,725,1,0,0,19,0,75888.2,1,0,0,45613.75,0
2439,511,0,0,1,66,4,0,1,1,0,1643.11,1
2440,614,0,1,0,51,4,40685.92,1,1,1,46775.28,0
2441,742,1,0,0,35,5,136857,1,0,0,84509.57,0
2442,687,1,0,1,27,9,152328.88,2,0,0,126494.82,0
2443,555,0,0,0,33,1,56084.69,2,0,0,178798.13,0
2444,684,0,0,0,56,8,78707.16,1,1,1,99398.36,0
2445,603,1,0,0,26,4,109166.37,1,1,1,92840.67,0
2446,751,1,0,1,36,6,169831.46,2,1,1,27758.36,0
2447,581,1,0,1,34,1,101633.04,1,1,0,110431.51,0
2448,735,1,0,0,43,10,123180.01,2,1,1,196673.28,0
2449,661,1,0,1,35,5,150725.53,2,0,1,113656.85,0
2450,675,0,1,1,21,8,98373.26,1,1,0,18203,0
2451,738,1,0,0,58,2,133745.44,4,1,0,28373.86,1
2452,813,0,1,0,29,6,0,1,1,0,33953.87,0
2453,657,0,0,1,37,0,163607.18,1,0,1,44203.55,0
2454,604,1,0,1,25,5,157780.84,2,1,1,58426.81,0
2455,519,0,1,0,36,9,0,2,0,1,145562.4,0
2456,735,0,1,1,21,1,178718.19,2,1,0,22388,0
2457,664,0,1,0,55,8,0,2,1,1,139161.64,0
2458,678,0,1,1,32,9,0,1,1,1,148210.64,0
2459,757,0,0,0,33,5,77253.22,1,0,1,194239.63,0
2460,416,1,0,1,41,10,122189.66,2,1,0,98301.61,0
2461,665,0,1,1,34,1,96645.54,2,0,0,171413.66,0
2462,777,0,1,1,32,2,0,1,1,0,136458.19,1
2463,543,0,1,1,36,3,0,2,0,0,26019.59,0
2464,506,0,1,1,34,4,90307.62,1,1,1,159235.29,0
2465,493,0,1,1,46,4,0,2,1,0,1907.66,0
2466,652,0,0,1,75,10,0,2,1,1,114675.75,0
2467,750,0,0,0,22,3,121681.82,1,1,0,128643.35,1
2468,729,0,1,0,30,9,0,2,1,0,151869.35,0
2469,646,0,1,1,46,4,0,3,1,0,93251.42,1
2470,635,1,0,1,28,3,81623.67,2,1,1,156791.36,0
2471,647,0,0,1,44,5,0,3,1,1,174205.22,1
2472,808,0,1,0,45,7,118626.55,2,1,0,147132.46,0
2473,524,0,1,1,36,10,0,2,1,0,109614.57,0
2474,769,0,1,0,29,8,0,2,1,1,172290.61,0
2475,730,0,0,0,42,4,0,2,0,1,85982.47,0
2476,515,0,0,0,35,10,176273.95,1,0,1,121277.78,0
2477,773,0,0,0,41,9,102827.44,1,0,1,64595.25,0
2478,814,1,0,0,29,8,97086.4,2,1,1,197276.13,0
2479,710,0,0,0,22,8,0,2,0,0,99645.04,0
2480,413,0,1,0,34,9,0,2,0,0,6534.18,0
